label,counter,user_id,user_name_len,full_name_len,intro_len,external_url,is_joined_recently,is_private,is_verified,is_business_account,highlight_reel_count,following_count,followed_count,post_count,avg_comment,avg_like,avg_post_len,avg_#,avg_@,var_comment,var_like,var_post_len,var_#,var_@
1,1271,205107877,8,8,37,1,0,0,1,1,5,947,854321,2836,497,8859,123,0,0,13181499,22151264,20693,0,0
1,1272,298228470,11,12,108,1,0,0,1,1,18,707,851069,12005,50,2815,488,2,6,2323,4056260,136347,2,44
1,1273,363327219,7,7,23,1,0,0,1,1,5,607,8055260,2792,4296,248034,32,0,0,105664197,-2147483648,1979,0,0
1,1274,373587641,13,6,69,1,0,0,1,1,18,2014,1052046,8577,30,1974,142,4,0,2987,3942265,7022,2,0
1,1275,378386629,11,19,87,1,0,0,1,1,7,196,904660,3821,45,2193,142,0,1,1491,1327561,7775,0,1
1,1276,19359711,8,8,24,1,0,0,1,1,3,2074,9138199,6,3250,234414,56,0,0,6977603,-2147483648,18682,0,4
1,1277,53672690,14,16,85,1,0,0,1,1,10,324,3351321,9687,136,15345,175,0,3,62138,346128681,22015,0,19
1,1278,52844525,10,3,138,1,0,0,1,0,3,138,1130691,746,976,35811,63,0,0,9802139,88667686,4323,0,0
1,1279,144108526,23,25,129,1,0,0,1,1,1,423,4260639,3009,258,33392,107,0,1,112232,661036206,6385,0,1
1,1280,256567430,13,23,150,1,0,0,1,0,26,2073,1481314,2014,392,45020,311,0,2,85282,-2147483648,108384,0,10
1,1281,295424908,12,13,64,1,0,0,1,1,5,1041,329618,1055,189,11332,108,0,0,17283,15153990,17403,0,0
1,1282,180912227,8,4,38,1,0,0,1,1,8,536,3796970,279,454,49191,89,0,0,468077,-2147483648,8387,2,2
1,1283,34820881,11,11,72,1,0,0,1,0,7,529,2791423,3191,572,34705,110,0,0,493425,255813210,21337,0,0
1,1284,195734327,11,12,78,1,0,0,1,1,1,643,8764107,1466,1469,128900,93,0,1,2607271,-2147483648,7799,0,1
1,1285,143773149,6,6,13,1,0,0,1,1,6,670,3181982,724,498,43444,62,0,0,238647,825188517,4962,0,0
1,1286,366581549,12,12,41,1,0,0,1,1,4,138,7427479,2523,494,77883,154,0,1,550786,-2147483648,17322,0,1
1,1287,913386804,15,16,136,1,0,0,1,0,2,805,764922,2370,308,19413,134,0,0,132900,117275317,14091,0,0
